name	description
IBMTOUpdateAlert	Updates an existing IBM Tivoli Omnibus alert 
IISListSites	An activity to list details on all or one of a Windows server''s IIS sites.
IncidentCounter	Returns the number of currently open Incidents, according to the selected criteria and duration
IncidentHistoryReport	Creates a report containing the incident history, according to a specified filter
IncidentNumberOfInstances	Returns the Incident''s number of concurrent instances
IncidentOccurrences	Returns the number of incidents that occurred over the last specified period
IncidentStatus	Returms the incident''s status
IndexOf	Returns the index (location) of a sub string within a string
InStr	Returns the position of the first occurrence of a sub string within a string
InStrRev	Returns the position of the first occurrence of a sub string within a string, starting to search at the last character of the string 
IsEmpty	Checks if a text is empty
IsNumeric	Checks if a string contains a valid numeric value
JiraCreateIssue	Creates a new Jira issue
JiraDownloadAttachment	Download an attachment from a Jira ticket.
JiraGenericCommand	Executes a Jira command
JiraGetIssue	Gets a list of Jira issues according to the selected criteria
JiraListAttachments	Retrieve list of attachments from a Jira ticket.
JiraUpdateIssue	Updates a Jira issue
JiraUploadAttachment	Upload an attachment to a Jira ticket.
JSONEncodeString	Escape/encode a string so it can be passed as a value for a JSON key.
JsonGetKeyPaths	Json Get Key Paths
JSONStringArraytoTable	Convert a JSON array of strings to a single-column data table.
JsonToTable	Json To Table
JSONtoTableAdvanced	Generate data table from complex, nested JSON.
LastResponse	Contacts the latest recipient who took responsibility for the workflow
Left	Extracts a specified number of characters from the left side of a string 
LeftTrim	Removes the leading blank spaces from a string
Length	Returns the number of characters in a string
ListFolderBox	List folder
LMAcknowledgeAlert	Acknowledge alert by id.
LMSetDeviceSDT	set Standard Down Time (SDT) for a specified device
LoadFile	Loads a file and returns its data in Base64 format
LoadRemoteFile	Loads a file and returns its data in Base64 format
LockExecutor	Locks the selected executor to be exclusively used by the activities of the running workflow
LowerCase	Switches all characters in a string to lower case
MatchRegularExpression	Searches for all matches between a Regular Expression and a given text
Max	Returns the higher of two numbers
Memory	Returns the Available Memory/Memory Usage of the selected machine (in MB)
MemoryClean	Clears a variable''s value from its allocated memory cell
MemorySet	Allocates a value to a Workflow/Global  variable
MemoryTableComparison	Compares two tables (or two specific columns in the tables) and displays the equivalent/inequivalent rows
MemoryTableGetUniqueRows	Return a list of unique rows from two Memory Tables.
MemoryTableUnion	Merges two identical schema tables into one and saves the new table in the target table''s variable name
MFSMAXAddComment	Add a comment to a ticket in Micro Focus SMAX.
MFSMAXCreateTicket	Create a ticket in Micro Focus SMAX.
MFSMAXDownloadAttachment	Download an attachment from a ticket in Micro Focus SMAX.
MFSMAXGetComments	Retrieve comments from a Micro Focus SMAX ticket.
MFSMAXGetTicket	Retrieve an individual ticket in Micro Focus SMAX.
MFSMAXListAttachments	Retrieve list of attachments from a ticket in Micro Focus SMAX.
MFSMAXListTickets	Retrieve tickets in Micro Focus SMAX.
MFSMAXUpdateTicket	Update an individual ticket in Micro Focus SMAX.
MicrosoftGetanaccesstoken	Get an access token for Microsoft Graph
Min	Returns the lower of two numbers
MQCounter	Returns the amount of messages in a queue
MQGetAllMessages	Returns the list of messages in a queue
MQPeek	Returns the first message in a queue
MQPurge	Deletes all messages in a queue
MQSend	Inserts a new message to a queue
MsTeamsAddToTeam	Add the defined user to the selected team
MsTeamsCreateChannel	Create a new channel under a team in Teams 
MsTeamsCreateTeam	Create a new team in MS Teams
MsTeamsDeleteChannel	Delete the specified channel
MsTeamsDeleteTeam	Delete the specified team
MsTeamsEndConversation	Terminates the existing Teams session
MsTeamsRemoveFromTeam	Remove the defined user from the selected team
MsTeamsSendMessage	Send a message to the specified channel or user
MsTeamsStartConversation	Ms Teams Start Conversation
MultiMemorySet	Allocates a value to one or more Workflow/Global variables
MultiSSHCommands	Sends multiple SSH protocol commands
MySQLQuery	Executes a Select query on a MySQL database 
MySQLStatement	Executes a statement on a MySQL database
NestedJsonToTable	Convert JSON with up to two nested levels to a table.
NetBackupChangePolicy	Activity to make changes in the NetBackup policies (e.g Enable/Disable)
NewEvent	Simulates an external event generation
NewIncident	Creates an Incident and sends it to evaluation performed by the rule base engine
OracleQuery	Executes a Select query on an Oracle database 
OracleStatement	Executes a statement on an Oracle database
PasswordGenerator	Generates a strong password
PerformanceMonitor	Requests for the current value of performance counters at a specified time interval
Ping	Runs a Ping command
PingLatency	Retrieves the elapsed time passing between sending a ping command and retrieving an answer
PlivoSendSMS	Send text message to a mobile number using Plivo.
Pow	Returns a specified number raised to the specified power
PowerShell	Executes a Powershell script on a remote device
PowershellSecurestring	Powershell Secure string
ProcessCounter	Returns the number of active instances of a specified process in the operating system
ProcessCPUUsage	Returns the CPU usage value of a specified process
ProcessKill	Terminates all active instances of a specified process
ProcessMemoryUsage	Returns the memory usage value of a specified process (in MB)
ProcessOwner	Returns a list of process ID’s and process owners 
ProcessStart	Starts a specified process
PythonCode	Activity execute predefined Python script
QRadarAddOffenseNote	QRadar Add Offense Note
QRadarAssignOffense	QRadar Assign Offense
QRadarCloseOffense	QRadar Close Offense
QRadarGetEventDetails	QRadar Get Event Details
QRadarGetOffense	QRadar Get Offense
QRadarGetOffenseEvents	QRadar Get Offense Events
RandomNumberGenerator	Generates a random number within a specified range
ReadContinuousFile	Returns the data that was added to a specified text file since it was last read
ReadCSV	Reads a CSV file and returns its data
ReadFile	Reads a text file and returns its data
ReadPDF	Reads a PDF file and returns its data
ReadWord	Read Word Document.
ReadXLS	Reads an Excel file and returns its data
RegistryCreateKeyPath	Create a new key path in Windows Registry.
RegistryDelete	Deletes a selected entry from the registry according to a selected registry key and path
RegistryQuery	Queries a selected entry in the registry according to a selected registry key and path
RegistryWriteKeyValue	Write value to a specific key path in Windows Registry.
RemedyForceCreateRecord	Remedy Force Create Record
RemedyForceExecuteSOQL	Remedy Force Execute SOQL
RemedyForceGetRecord	RemedyForceGetRecord
RemedyForceUpdateRecord	Remedy Force Update Record
RemoveEmptyRowsAndColumnsFromTable	Remove any empty rows or columns in a table.
RemoveUserAssignment	Removes an assigned user from the Incident that triggered the workflow
RenameMemoryTableColumn	Renames a selected Column in a table
ReplaceParagraph	Replaces one paragraph with other text
ReplaceString	Returns a new string in which all occurrences of a specified sub string are replaced with another sub string
ReplaceStringAdvanced	Returns a new string in which all occurrences of a specified sub string are replaced with another sub string
ResetIncident	Resets the Incident that triggered the Workflow or any other Incident 
