ActivityName,SelectedModuleID,ModuleTypeName,Category,TaskType,NodeType,UsageCount,IsOrphaned
this_pon_row,NULL,INTERNAL,INTERNAL,TRANSFORM,LEAF,1,0
this_pon_row_ALARMINDEX,NULL,INTERNAL,INTERNAL,TRANSFORM,LEAF,1,0
this_pon_row_ALARMINDEX_corrected,NULL,INTERNAL,INTERNAL,TRANSFORM,LEAF,1,0
this_pon_row_ISAMPORT,NULL,INTERNAL,INTERNAL,TRANSFORM,LEAF,1,0
this_pon_row_LOSS,NULL,INTERNAL,INTERNAL,TRANSFORM,LEAF,1,0
this_pon_row_PORT,NULL,INTERNAL,INTERNAL,TRANSFORM,LEAF,1,0
this_row,NULL,INTERNAL,INTERNAL,TRANSFORM,LEAF,1,0
this_ssh_error_ELSE,NULL,INTERNAL,INTERNAL,TRANSFORM,LEAF,1,0
this_ssh_error_ELSE_SSH2,NULL,INTERNAL,INTERNAL,TRANSFORM,LEAF,1,0
this_ssh_error_version_command_not_executed,NULL,INTERNAL,INTERNAL,TRANSFORM,LEAF,1,0
this_ssh_error_version_command_not_executed_SSH2,NULL,INTERNAL,INTERNAL,TRANSFORM,LEAF,1,0
this_ssh_error_version_result_is_unknown,NULL,INTERNAL,INTERNAL,TRANSFORM,LEAF,1,0
this_ssh_error_version_result_is_unknown_SSH2,NULL,INTERNAL,INTERNAL,TRANSFORM,LEAF,1,0
THIS_WF_BEGINS,NULL,INTERNAL,INTERNAL,TRANSFORM,LEAF,1,0
THIS_WF_ENDS,NULL,INTERNAL,INTERNAL,TRANSFORM,LEAF,1,0
THIS_WF_TOTAL_SEC,NULL,INTERNAL,INTERNAL,TRANSFORM,LEAF,1,0
ThisAlarm_TOMORROW,NULL,INTERNAL,INTERNAL,TRANSFORM,LEAF,1,0
ThisAlarm_YESTERDAY,NULL,INTERNAL,INTERNAL,TRANSFORM,LEAF,1,0
tenantName,NULL,INTERNAL,INTERNAL,TRANSFORM,LEAF,1,0
termDate,NULL,INTERNAL,INTERNAL,TRANSFORM,LEAF,1,0
termDay,NULL,INTERNAL,INTERNAL,TRANSFORM,LEAF,1,0
Terminate_NoResponse,NULL,INTERNAL,INTERNAL,TRANSFORM,LEAF,1,0
terminate5,NULL,INTERNAL,INTERNAL,TRANSFORM,LEAF,1,0
terminate6,NULL,INTERNAL,INTERNAL,TRANSFORM,LEAF,1,0
terminate7,NULL,INTERNAL,INTERNAL,TRANSFORM,LEAF,1,0
templateNamesCount,NULL,INTERNAL,INTERNAL,TRANSFORM,LEAF,1,0
TemplateSoftPhone,NULL,INTERNAL,INTERNAL,TRANSFORM,LEAF,1,0
temporaryPassword,NULL,INTERNAL,INTERNAL,TRANSFORM,LEAF,1,0
tempFileExists,NULL,INTERNAL,INTERNAL,TRANSFORM,LEAF,1,0
tempGoToprepareUserResults,NULL,INTERNAL,INTERNAL,TRANSFORM,LEAF,1,0
TemplateDeviceProfile,NULL,INTERNAL,INTERNAL,TRANSFORM,LEAF,1,0
templateHardPhone,NULL,INTERNAL,INTERNAL,TRANSFORM,LEAF,1,0
TemplateLine,NULL,INTERNAL,INTERNAL,TRANSFORM,LEAF,1,0
